date,year,month,day_of_year,lat,lon,sst,chl,ssh,do,current_speed,front_strength,eddy_strength,phi,hsi,cpue_kg_per_day,species,proxy_cpue,bathy_depth,bathy_slope,bathy_dist_to_seamount,bathy_dist_to_shelf_break
2019-01-15,2019,1,15,25.0,135.0,25.18,0.4618,-0.0054,4.72,0.113,0.0899,67.8,0.514,0.5809,45.2,yellowfin,0.341004308481903,-3999.757080078125,0.07064282894134521,500.0,300.0
2019-01-15,2019,1,15,20.0,140.0,26.32,0.3618,0.03,4.45,0.113,0.0265,159.8,0.514,0.7661,38.7,yellowfin,0.3295103328401323,-3999.487060546875,0.2903289794921875,500.0,300.0
2019-01-15,2019,1,15,15.0,150.0,27.42,0.2618,0.0654,4.19,0.2,0.0453,142.9,0.512,0.8209,52.1,yellowfin,0.8777839963790027,-3526.7626953125,3.1416728496551514,214.81137084960938,300.0
2019-01-15,2019,1,15,10.0,155.0,29.78,0.1618,0.08,2.23,0.287,0.0358,115.3,0.308,0.5758,61.3,yellowfin,0.5162039419931646,-4000.0,0.0,500.0,300.0
2019-01-15,2019,1,15,8.0,160.0,30.68,0.2018,0.0776,3.56,0.299,0.0153,86.8,0.513,0.4887,55.8,yellowfin,0.5821047254206616,-4000.0,0.0,500.0,300.0
2019-02-15,2019,2,46,25.0,135.0,25.45,0.4764,-0.0094,4.68,0.113,0.0707,61.3,0.517,0.6383,42.1,yellowfin,0.13829615064129913,-3999.757080078125,0.07064282894134521,500.0,300.0
2019-02-15,2019,2,46,22.0,138.0,26.07,0.4164,0.0105,4.53,0.101,0.0848,68.0,0.516,0.745,35.6,yellowfin,0.33141128741750125,-3999.487060546875,0.2774035334587097,500.0,300.0
2019-02-15,2019,2,46,18.0,145.0,26.9,0.3364,0.0414,4.33,0.141,0.0155,134.0,0.515,0.8334,48.3,yellowfin,0.679549565537566,-3999.060791015625,0.07385315746068954,462.1146240234375,300.0
2019-02-15,2019,2,46,12.0,152.0,28.97,0.2164,0.0735,2.39,0.259,0.0297,130.4,0.317,0.7407,58.9,yellowfin,0.5010858747863516,-3999.958251953125,0.0076246121898293495,500.0,300.0
2019-02-15,2019,2,46,7.0,162.0,31.36,0.2364,0.0705,3.44,0.299,0.0109,37.5,0.513,0.3999,63.2,yellowfin,0.996788273104078,-4000.0,0.0,500.0,300.0
2019-03-15,2019,3,74,26.0,132.0,24.93,0.5126,-0.0255,4.78,0.426,0.1093,57.0,0.513,0.5362,39.8,yellowfin,0.6331543609367234,-3885.012451171875,1.6395710706710815,500.0,300.0
2019-03-15,2019,3,74,20.0,142.0,26.33,0.3926,0.015,4.45,0.113,0.0207,100.9,0.514,0.7804,44.5,yellowfin,0.7758089899560138,-3999.999755859375,0.0032578192185610533,500.0,300.0
2019-03-15,2019,3,74,15.0,148.0,27.43,0.2926,0.0504,4.19,0.2,0.0391,149.8,0.512,0.8491,56.7,yellowfin,0.8540684100203779,-1200.0,0.0,0.0,300.0
2019-03-15,2019,3,74,10.0,158.0,29.75,0.1926,0.065,2.24,0.287,0.0085,107.5,0.308,0.6218,68.4,yellowfin,0.3150085704619968,-4000.0,0.0,500.0,300.0
2019-03-15,2019,3,74,6.0,165.0,31.57,0.2726,0.0555,3.38,0.295,0.014,51.9,0.51,0.3822,72.1,yellowfin,0.5599035556319486,-4000.0,0.0,500.0,300.0
2019-04-15,2019,4,105,28.0,130.0,23.56,0.56,-0.0476,5.03,0.159,0.068,87.9,0.502,0.2855,33.2,yellowfin,0.37055013147275906,-3999.9931640625,0.0034490651451051235,500.0,300.0
2019-04-15,2019,4,105,24.0,136.0,24.73,0.48,-0.0294,4.77,0.105,0.0797,60.4,0.507,0.4925,41.9,yellowfin,0.11928654894847633,-3994.5859375,1.1953444480895996,500.0,300.0
2019-04-15,2019,4,105,18.0,144.0,26.42,0.36,0.0155,4.4,0.141,0.0665,120.8,0.51,0.7818,55.3,yellowfin,0.3821952776720736,-3999.958251953125,0.007620806340128183,500.0,300.0
2019-04-15,2019,4,105,12.0,155.0,28.47,0.24,0.0476,2.47,0.259,0.0542,84.9,0.318,0.8036,67.8,yellowfin,0.8336736410162994,-4000.0,0.0,500.0,300.0
2019-04-15,2019,4,105,8.0,163.0,30.07,0.24,0.0476,3.65,0.299,0.0067,79.8,0.51,0.6228,75.4,yellowfin,0.5758323630772512,-4000.0,0.0,500.0,300.0
2019-05-15,2019,5,135,30.0,128.0,21.61,0.7926,-0.065,5.36,0.2,0.0274,55.9,0.483,0.0777,28.5,yellowfin,0.6101634816124271,-4000.0,0.0,500.0,300.0
2019-05-15,2019,5,135,25.0,134.0,23.44,0.4926,-0.0504,4.98,0.113,0.0777,64.6,0.495,0.2622,38.1,yellowfin,0.25489581259455873,-3985.682373046875,0.5807504057884216,500.0,300.0
2019-05-15,2019,5,135,20.0,142.0,25.25,0.3926,-0.015,4.61,0.113,0.0052,115.0,0.504,0.5784,52.6,yellowfin,0.46214522248673184,-3999.999755859375,0.0032578192185610533,500.0,300.0
2019-05-15,2019,5,135,14.0,150.0,27.34,0.2726,0.0255,2.68,0.221,0.0408,163.4,0.326,0.8258,64.2,yellowfin,0.31017162880977955,-3696.569580078125,2.6439831256866455,242.32080078125,300.0
2019-05-15,2019,5,135,9.0,160.0,28.99,0.2126,0.0344,3.83,0.295,0.0234,52.3,0.507,0.7346,71.9,yellowfin,0.4212533830689884,-4000.0,0.0,500.0,300.0
2019-06-15,2019,6,166,28.0,132.0,21.14,0.5364,-0.0735,5.39,0.459,0.0865,43.2,0.474,0.0513,36.4,yellowfin,0.9352237710123531,-3999.972412109375,0.006270179525017738,500.0,300.0
2019-06-15,2019,6,166,22.0,140.0,23.76,0.4164,-0.0414,4.88,0.101,0.0665,118.5,0.493,0.3057,48.7,yellowfin,0.4147767554685473,-3999.999755859375,0.023187898099422455,500.0,300.0
2019-06-15,2019,6,166,16.0,148.0,26.32,0.2964,0.0034,4.37,0.179,0.0706,168.5,0.505,0.7291,62.3,yellowfin,0.5790988697635646,-2204.69482421875,4.002488136291504,111.1949234008789,300.0
2019-06-15,2019,6,166,10.0,156.0,28.06,0.1764,0.024,2.49,0.287,0.0116,93.8,0.315,0.7267,78.5,yellowfin,0.963976668410671,-4000.0,0.0,500.0,300.0
2019-06-15,2019,6,166,7.0,164.0,28.78,0.2364,0.0186,3.82,0.299,0.0233,85.3,0.501,0.7801,85.2,yellowfin,0.34449357511856016,-4000.0,0.0,500.0,300.0
2019-07-15,2019,7,196,26.0,134.0,21.23,0.4818,-0.0705,5.34,0.426,0.0704,57.8,0.471,0.0545,42.8,yellowfin,0.2621172932857512,-3998.21728515625,0.20840080082416534,500.0,300.0
2019-07-15,2019,7,196,20.0,142.0,24.16,0.3618,-0.03,4.78,0.113,0.0089,105.5,0.493,0.3641,55.1,yellowfin,0.782698799200886,-3999.999755859375,0.0032578192185610533,500.0,300.0
2019-07-15,2019,7,196,14.0,150.0,26.77,0.2418,0.0105,2.76,0.221,0.0663,169.3,0.327,0.7437,68.9,yellowfin,0.44745671307855284,-3696.569580078125,2.6439831256866455,242.32080078125,300.0
2019-07-15,2019,7,196,9.0,158.0,27.8,0.1818,0.0194,2.51,0.295,0.0193,107.6,0.313,0.734,82.3,yellowfin,0.3320706231751155,-4000.0,0.0,500.0,300.0
2019-07-15,2019,7,196,6.0,166.0,28.35,0.2418,0.0105,3.87,0.295,0.0236,44.9,0.496,0.8106,88.7,yellowfin,0.9116558039726971,-4000.0,0.0,500.0,300.0
2019-08-15,2019,8,227,28.0,130.0,19.89,0.5139,-0.0735,5.58,0.159,0.0872,81.6,0.458,0.0159,40.5,yellowfin,0.8690430254880809,-3999.9931640625,0.0034490651451051235,500.0,300.0
2019-08-15,2019,8,227,22.0,138.0,22.97,0.3939,-0.0414,4.99,0.101,0.0793,137.6,0.484,0.1917,52.3,yellowfin,0.32431627059512824,-3999.487060546875,0.2774035334587097,500.0,300.0
2019-08-15,2019,8,227,16.0,146.0,26.0,0.2739,0.0034,4.42,0.179,0.0,166.3,0.502,0.6619,65.8,yellowfin,0.30473181715677455,-3696.569580078125,2.6439831256866455,241.42852783203125,300.0
2019-08-15,2019,8,227,11.0,154.0,27.26,0.1739,0.0234,2.63,0.274,0.0517,106.5,0.319,0.6982,79.1,yellowfin,0.2665011740655191,-4000.0,5.56518500616221e-07,500.0,300.0
2019-08-15,2019,8,227,7.0,162.0,27.96,0.2139,0.0186,3.95,0.299,0.0209,26.0,0.496,0.7825,86.4,yellowfin,0.826925265821699,-4000.0,0.0,500.0,300.0
2019-09-15,2019,9,258,27.0,132.0,20.72,0.4909,-0.0596,5.43,0.441,0.0756,61.9,0.467,0.0352,38.9,yellowfin,0.8959648257351891,-3996.429931640625,0.20245042443275452,500.0,300.0
2019-09-15,2019,9,258,21.0,140.0,23.67,0.3709,-0.0228,4.87,0.105,0.1096,108.0,0.49,0.2853,50.6,yellowfin,0.11854433684816434,-3999.933349609375,0.20347751677036285,500.0,300.0
2019-09-15,2019,9,258,15.0,148.0,26.56,0.2509,0.0204,4.32,0.2,0.0338,137.5,0.505,0.7267,63.2,yellowfin,0.9389305589712298,-1200.0,0.0,0.0,300.0
2019-09-15,2019,9,258,10.0,157.0,27.59,0.1509,0.035,2.56,0.287,0.0292,106.6,0.316,0.6746,76.8,yellowfin,0.91646415800986,-4000.0,0.0,500.0,300.0
2019-09-15,2019,9,258,6.0,165.0,28.37,0.2309,0.0255,3.86,0.295,0.0147,68.0,0.496,0.7974,82.1,yellowfin,0.6691248768100401,-4000.0,0.0,500.0,300.0
2019-10-15,2019,10,288,25.0,135.0,22.45,0.4502,-0.0354,5.13,0.113,0.0819,90.0,0.484,0.1385,35.7,yellowfin,0.7508082988346476,-3999.757080078125,0.07064282894134521,500.0,300.0
2019-10-15,2019,10,288,20.0,143.0,24.62,0.3502,0.0,4.71,0.113,0.013,122.8,0.497,0.4448,46.3,yellowfin,0.10256154831662151,-3999.897216796875,0.13498932123184204,500.0,300.0
2019-10-15,2019,10,288,14.0,151.0,27.01,0.2302,0.0405,2.73,0.221,0.0422,112.9,0.326,0.7551,58.9,yellowfin,0.8998167306399605,-3967.117919921875,0.6824870705604553,341.5587158203125,300.0
2019-10-15,2019,10,288,9.0,159.0,28.3,0.1702,0.0494,2.43,0.295,0.023,92.8,0.311,0.7124,70.2,yellowfin,0.6769689581598771,-4000.0,0.0,500.0,300.0
2019-10-15,2019,10,288,7.0,167.0,28.74,0.2102,0.0446,3.83,0.299,0.0201,61.1,0.501,0.7513,74.5,yellowfin,0.33574577671233774,-4000.0,0.0,500.0,300.0
