date,year,month,day_of_year,lat,lon,sst,chl,ssh,do,current_speed,front_strength,eddy_strength,phi,hsi,cpue_kg_per_day,species
2019-01-15,2019,1,15,32.0,140.0,23.68,0.6018,-0.0176,5.09,0.541,0.025,63.0,0.6,0.6745,28.5,albacore
2019-01-15,2019,1,15,28.0,145.0,24.57,0.5218,-0.0176,4.87,0.459,0.093,81.3,0.601,0.5426,35.2,albacore
2019-01-15,2019,1,15,25.0,150.0,25.22,0.4618,-0.0054,4.72,0.113,0.0753,65.9,0.6,0.4482,30.8,albacore
2019-01-15,2019,1,15,22.0,155.0,25.84,0.4018,0.0145,4.56,0.101,0.1116,121.6,0.599,0.362,22.4,albacore
2019-02-15,2019,2,46,33.0,138.0,23.87,0.6364,-0.0186,5.08,0.559,0.0153,86.8,0.605,0.6498,30.1,albacore
2019-02-15,2019,2,46,29.0,143.0,24.7,0.5564,-0.0234,4.88,0.479,0.0707,40.8,0.605,0.5286,37.5,albacore
2019-02-15,2019,2,46,26.0,148.0,25.3,0.4964,-0.0145,4.73,0.426,0.0848,23.2,0.604,0.4425,33.2,albacore
2019-02-15,2019,2,46,22.0,153.0,26.07,0.4164,0.0105,4.53,0.101,0.0455,95.0,0.601,0.3381,24.6,albacore
2019-03-15,2019,3,74,34.0,136.0,23.21,0.6726,-0.0255,5.2,0.574,0.0099,93.9,0.599,0.7429,32.8,albacore
2019-03-15,2019,3,74,30.0,142.0,24.13,0.5926,-0.035,4.98,0.5,0.0109,24.2,0.6,0.6112,40.2,albacore
2019-03-15,2019,3,74,27.0,147.0,24.79,0.5326,-0.0296,4.82,0.441,0.1093,50.2,0.601,0.5138,36.5,albacore
2019-03-15,2019,3,74,23.0,152.0,25.65,0.4526,-0.0077,4.61,0.101,0.0814,65.2,0.6,0.3928,27.1,albacore
2019-04-15,2019,4,105,35.0,135.0,21.7,0.7,-0.0354,5.45,0.287,0.0146,102.2,0.581,0.9144,35.4,albacore
2019-04-15,2019,4,105,31.0,140.0,22.84,0.62,-0.0494,5.19,0.521,0.0085,65.3,0.587,0.787,42.8,albacore
2019-04-15,2019,4,105,28.0,145.0,23.68,0.56,-0.0476,5.01,0.459,0.068,45.1,0.59,0.6709,38.1,albacore
2019-04-15,2019,4,105,24.0,150.0,24.76,0.48,-0.0294,4.77,0.105,0.068,118.6,0.593,0.5114,29.5,albacore
2019-05-15,2019,5,135,34.0,137.0,20.32,0.6726,-0.0555,5.63,0.574,0.0199,66.4,0.56,0.986,38.6,albacore
