date,year,month,day_of_year,lat,lon,sst,chl,ssh,do,current_speed,front_strength,eddy_strength,phi,hsi,cpue_kg_per_day,species
2019-01-15,2019,1,15,28.0,132.0,24.49,0.5218,-0.0176,4.89,0.459,0.0899,48.1,0.66,0.3014,22.5,bigeye
2019-01-15,2019,1,15,22.0,140.0,25.88,0.4018,0.0145,4.56,0.101,0.093,136.7,0.656,0.1665,35.8,bigeye
2019-01-15,2019,1,15,15.0,148.0,27.43,0.2618,0.0654,4.19,0.2,0.0453,142.9,0.646,0.071,42.1,bigeye
2019-01-15,2019,1,15,10.0,156.0,29.77,0.1618,0.08,2.23,0.287,0.0358,115.3,0.383,0.015,38.6,bigeye
2019-01-15,2019,1,15,7.0,165.0,31.09,0.2218,0.0746,3.48,0.299,0.0153,76.6,0.631,0.0068,31.2,bigeye
2019-02-15,2019,2,46,27.0,134.0,25.04,0.5164,-0.0186,4.78,0.441,0.0707,45.4,0.662,0.2447,24.8,bigeye
2019-02-15,2019,2,46,20.0,142.0,26.5,0.3764,0.026,4.43,0.113,0.0224,91.1,0.655,0.1242,38.2,bigeye
2019-02-15,2019,2,46,14.0,150.0,27.99,0.2564,0.0664,2.58,0.221,0.0155,131.0,0.408,0.0522,44.5,bigeye
2019-02-15,2019,2,46,9.0,158.0,30.41,0.1964,0.0754,2.12,0.295,0.0099,93.9,0.373,0.0105,40.1,bigeye
2019-03-15,2019,3,74,26.0,136.0,24.97,0.5126,-0.0255,4.77,0.426,0.0618,33.2,0.659,0.2511,28.3,bigeye
2019-03-15,2019,3,74,18.0,144.0,26.77,0.3526,0.0305,4.34,0.141,0.0793,140.7,0.651,0.1072,41.7,bigeye
2019-03-15,2019,3,74,12.0,152.0,28.85,0.2326,0.0626,2.41,0.259,0.0514,95.6,0.397,0.0307,48.2,bigeye
2019-03-15,2019,3,74,8.0,162.0,30.66,0.2326,0.0626,3.56,0.299,0.0146,78.1,0.634,0.0094,43.5,bigeye
2019-04-15,2019,4,105,28.0,130.0,23.56,0.56,-0.0476,5.03,0.159,0.057,58.4,0.65,0.4131,25.1,bigeye
2019-04-15,2019,4,105,22.0,138.0,25.3,0.44,-0.0155,4.65,0.101,0.068,100.4,0.651,0.2159,39.8,bigeye
2019-04-15,2019,4,105,16.0,146.0,26.97,0.32,0.0294,4.27,0.179,0.038,186.9,0.646,0.0948,46.3,bigeye
