date,year,month,day_of_year,lat,lon,sst,chl,ssh,do,current_speed,front_strength,eddy_strength,phi,hsi,cpue_kg_per_day,species
2019-01-15,2019,1,15,15.0,148.0,27.43,0.2618,0.0654,4.19,0.2,0.0599,144.8,0.485,0.8042,85.3,skipjack
2019-01-15,2019,1,15,10.0,155.0,29.78,0.1618,0.08,2.23,0.287,0.0265,130.5,0.296,0.5243,102.6,skipjack
2019-01-15,2019,1,15,7.0,162.0,31.13,0.2218,0.0746,3.47,0.299,0.0177,61.1,0.497,0.463,95.8,skipjack
2019-01-15,2019,1,15,20.0,140.0,26.32,0.3618,0.03,4.45,0.113,0.0358,144.7,0.484,0.9122,62.4,skipjack
2019-01-15,2019,1,15,5.5,170.0,31.74,0.2518,0.068,3.35,0.291,0.0153,65.6,0.496,0.4225,110.2,skipjack
2019-02-15,2019,2,46,12.0,150.0,28.99,0.2164,0.0735,2.39,0.259,0.0407,114.8,0.303,0.6551,92.1,skipjack
2019-02-15,2019,2,46,8.0,158.0,30.91,0.2164,0.0735,2.02,0.299,0.0224,37.6,0.286,0.4801,108.5,skipjack
2019-02-15,2019,2,46,6.0,165.0,31.82,0.2564,0.0664,3.35,0.295,0.0028,46.5,0.498,0.4171,115.3,skipjack
2019-02-15,2019,2,46,18.0,142.0,26.9,0.3364,0.0414,4.33,0.141,0.0297,151.5,0.486,0.8843,68.7,skipjack
2019-03-15,2019,3,74,14.0,148.0,27.91,0.2726,0.0555,2.59,0.221,0.0318,114.0,0.309,0.7881,88.6,skipjack
2019-03-15,2019,3,74,9.0,156.0,30.25,0.2126,0.0644,2.14,0.295,0.0347,83.0,0.292,0.5402,105.2,skipjack
2019-03-15,2019,3,74,6.0,164.0,31.59,0.2726,0.0555,3.38,0.295,0.0207,29.3,0.497,0.4489,118.7,skipjack
2019-03-15,2019,3,74,20.0,138.0,26.31,0.3926,0.015,4.45,0.113,0.0146,131.6,0.484,0.9277,60.3,skipjack
2019-04-15,2019,4,105,12.0,152.0,28.5,0.24,0.0476,2.47,0.259,0.027,131.6,0.304,0.7174,95.4,skipjack
2019-04-15,2019,4,105,8.0,160.0,30.11,0.24,0.0476,3.64,0.299,0.014,70.1,0.493,0.5768,112.8,skipjack
2019-04-15,2019,4,105,5.5,168.0,31.07,0.29,0.038,3.45,0.291,0.014,91.8,0.492,0.5121,125.1,skipjack
2019-04-15,2019,4,105,18.0,144.0,26.42,0.36,0.0155,4.4,0.141,0.0497,124.1,0.481,0.9097,72.5,skipjack
2019-05-15,2019,5,135,10.0,154.0,28.71,0.1926,0.035,2.39,0.287,0.0282,75.6,0.299,0.648,98.7,skipjack
2019-05-15,2019,5,135,7.0,162.0,29.66,0.2526,0.0296,3.69,0.299,0.0221,26.6,0.486,0.6303,116.3,skipjack
2019-05-15,2019,5,135,5.5,170.0,30.07,0.2826,0.023,3.6,0.291,0.0067,58.7,0.486,0.6114,128.5,skipjack
2019-05-15,2019,5,135,16.0,146.0,26.65,0.3126,0.0144,4.32,0.179,0.0648,153.3,0.479,0.8749,78.2,skipjack
2019-06-15,2019,6,166,12.0,150.0,27.56,0.2164,0.0216,2.61,0.259,0.0477,118.1,0.304,0.7478,105.6,skipjack
2019-06-15,2019,6,166,8.0,158.0,28.59,0.2164,0.0216,2.37,0.299,0.0052,61.5,0.294,0.6854,122.4,skipjack
2019-06-15,2019,6,166,6.0,166.0,29.03,0.2564,0.0145,3.77,0.295,0.0154,78.9,0.479,0.6903,135.8,skipjack
2019-06-15,2019,6,166,18.0,142.0,25.47,0.3364,-0.0105,4.54,0.141,0.0569,110.0,0.47,0.8937,82.1,skipjack
2019-07-15,2019,7,196,10.0,154.0,27.62,0.1618,0.02,2.56,0.287,0.0232,92.3,0.3,0.6651,110.3,skipjack
2019-07-15,2019,7,196,7.0,162.0,28.19,0.2218,0.0146,3.91,0.299,0.0132,78.0,0.474,0.719,128.7,skipjack
2019-07-15,2019,7,196,5.5,170.0,28.41,0.2518,0.008,3.85,0.291,0.0303,73.4,0.472,0.7356,140.2,skipjack
2019-07-15,2019,7,196,15.0,148.0,26.56,0.2618,0.0054,4.32,0.2,0.0332,141.4,0.476,0.8329,92.5,skipjack
2019-08-15,2019,8,227,11.0,152.0,27.27,0.1739,0.0234,2.63,0.274,0.0566,131.9,0.302,0.6992,108.9,skipjack
2019-08-15,2019,8,227,8.0,160.0,27.79,0.1939,0.0216,3.99,0.299,0.0152,72.2,0.473,0.7067,125.6,skipjack
2019-08-15,2019,8,227,6.0,168.0,28.08,0.2339,0.0145,3.91,0.295,0.0089,33.9,0.47,0.7396,138.1,skipjack
2019-08-15,2019,8,227,16.0,146.0,26.0,0.2739,0.0034,4.42,0.179,0.0663,177.0,0.472,0.85,88.4,skipjack
2019-09-15,2019,9,258,12.0,150.0,27.21,0.1909,0.0326,2.66,0.259,0.0486,144.2,0.304,0.7278,102.3,skipjack
2019-09-15,2019,9,258,9.0,157.0,27.81,0.1709,0.0344,2.51,0.295,0.0236,74.7,0.297,0.6711,118.5,skipjack
2019-09-15,2019,9,258,6.0,165.0,28.37,0.2309,0.0255,3.86,0.295,0.0236,88.5,0.473,0.7172,130.2,skipjack
2019-09-15,2019,9,258,18.0,142.0,25.12,0.3109,0.0005,4.59,0.141,0.0493,176.5,0.465,0.8674,78.6,skipjack
2019-10-15,2019,10,288,10.0,155.0,28.07,0.1502,0.05,2.49,0.287,0.0,116.4,0.3,0.623,95.8,skipjack
2019-10-15,2019,10,288,7.0,163.0,28.8,0.2102,0.0446,3.82,0.299,0.0209,59.8,0.479,0.6627,110.4,skipjack
2019-10-15,2019,10,288,5.5,171.0,29.1,0.4402,0.038,3.75,0.291,0.0209,15.0,0.478,0.7795,122.7,skipjack
2019-10-15,2019,10,288,16.0,147.0,26.32,0.2702,0.0294,4.37,0.179,0.0456,157.0,0.475,0.8447,74.3,skipjack
2019-11-15,2019,11,319,12.0,150.0,28.04,0.19,0.0626,2.53,0.259,0.0796,113.7,0.304,0.6878,88.5,skipjack
2019-11-15,2019,11,319,8.0,158.0,29.36,0.19,0.0626,2.26,0.299,0.0119,65.9,0.292,0.5942,105.2,skipjack
2019-11-15,2019,11,319,6.0,166.0,29.96,0.23,0.0555,3.63,0.295,0.0292,64.4,0.486,0.5835,115.8,skipjack
2019-11-15,2019,11,319,15.0,148.0,27.0,0.25,0.0504,4.25,0.2,0.0394,157.8,0.481,0.8095,70.1,skipjack
2019-12-15,2019,12,349,10.0,154.0,29.33,0.15,0.076,2.3,0.287,0.021,119.4,0.298,0.542,82.3,skipjack
2019-12-15,2019,12,349,7.0,162.0,30.51,0.21,0.0705,3.56,0.299,0.013,59.2,0.493,0.5131,98.7,skipjack
2019-12-15,2019,12,349,5.5,170.0,31.04,0.24,0.064,3.45,0.291,0.0161,25.5,0.492,0.4855,108.5,skipjack
2019-12-15,2019,12,349,14.0,149.0,27.67,0.23,0.0664,2.63,0.221,0.0559,147.4,0.309,0.7589,68.2,skipjack
2020-01-15,2020,1,15,12.0,150.0,28.86,0.2018,0.0776,2.41,0.259,0.0501,119.4,0.304,0.6483,87.5,skipjack
2020-01-15,2020,1,15,8.0,158.0,30.71,0.2018,0.0776,2.05,0.299,0.0058,67.5,0.287,0.4874,104.8,skipjack
2020-01-15,2020,1,15,6.0,165.0,31.57,0.2418,0.0705,3.38,0.295,0.0166,41.7,0.497,0.4335,112.3,skipjack
2020-01-15,2020,1,15,16.0,145.0,27.21,0.2818,0.0594,4.24,0.179,0.0468,158.0,0.485,0.832,65.1,skipjack
2020-02-15,2020,2,46,10.0,153.0,29.97,0.1764,0.076,2.21,0.287,0.0389,103.5,0.296,0.5273,93.2,skipjack
2020-02-15,2020,2,46,7.0,161.0,31.38,0.2364,0.0705,3.43,0.299,0.0226,64.3,0.499,0.4494,110.6,skipjack
2020-02-15,2020,2,46,5.5,169.0,32.01,0.2664,0.064,3.31,0.291,0.0008,54.2,0.498,0.4029,118.4,skipjack
2020-02-15,2020,2,46,14.0,148.0,28.0,0.2564,0.0664,2.58,0.221,0.0512,191.5,0.309,0.7678,72.8,skipjack
2020-03-15,2020,3,75,11.0,151.0,29.33,0.2126,0.0644,2.32,0.274,0.0462,118.5,0.3,0.6225,90.6,skipjack
2020-03-15,2020,3,75,8.0,159.0,30.69,0.2326,0.0626,2.06,0.299,0.0197,52.5,0.287,0.5142,107.2,skipjack
2020-03-15,2020,3,75,6.0,167.0,31.54,0.2726,0.0555,3.39,0.295,0.0314,72.8,0.497,0.4533,120.5,skipjack
2020-03-15,2020,3,75,17.0,143.0,26.99,0.3326,0.0377,4.29,0.159,0.0658,130.9,0.485,0.8787,68.4,skipjack
2020-04-15,2020,4,106,12.0,150.0,28.51,0.24,0.0476,2.46,0.259,0.0781,96.1,0.304,0.7165,97.8,skipjack
2020-04-15,2020,4,106,8.0,158.0,30.14,0.24,0.0476,2.14,0.299,0.0259,119.7,0.29,0.5744,115.3,skipjack
2020-04-15,2020,4,106,5.5,166.0,31.09,0.29,0.038,3.45,0.291,0.0101,43.4,0.493,0.509,127.6,skipjack
2020-04-15,2020,4,106,15.0,147.0,27.25,0.3,0.0354,4.21,0.2,0.052,137.5,0.483,0.8454,75.2,skipjack
2020-05-15,2020,5,136,10.0,154.0,28.71,0.1926,0.035,2.39,0.287,0.0045,101.4,0.299,0.648,100.5,skipjack
