date,year,month,day_of_year,lat,lon,sst,chl,ssh,do,current_speed,front_strength,eddy_strength,phi,hsi,cpue_kg_per_day,species
2019-01-15,2019,1,15,25.0,135.0,25.18,0.4618,-0.0054,4.72,0.113,0.0899,67.8,0.514,0.5809,45.2,yellowfin
2019-01-15,2019,1,15,20.0,140.0,26.32,0.3618,0.03,4.45,0.113,0.0265,159.8,0.514,0.7661,38.7,yellowfin
2019-01-15,2019,1,15,15.0,150.0,27.42,0.2618,0.0654,4.19,0.2,0.0453,142.9,0.512,0.8209,52.1,yellowfin
2019-01-15,2019,1,15,10.0,155.0,29.78,0.1618,0.08,2.23,0.287,0.0358,115.3,0.308,0.5758,61.3,yellowfin
2019-01-15,2019,1,15,8.0,160.0,30.68,0.2018,0.0776,3.56,0.299,0.0153,86.8,0.513,0.4887,55.8,yellowfin
2019-02-15,2019,2,46,25.0,135.0,25.45,0.4764,-0.0094,4.68,0.113,0.0707,61.3,0.517,0.6383,42.1,yellowfin
2019-02-15,2019,2,46,22.0,138.0,26.07,0.4164,0.0105,4.53,0.101,0.0848,68.0,0.516,0.745,35.6,yellowfin
2019-02-15,2019,2,46,18.0,145.0,26.9,0.3364,0.0414,4.33,0.141,0.0155,134.0,0.515,0.8334,48.3,yellowfin
2019-02-15,2019,2,46,12.0,152.0,28.97,0.2164,0.0735,2.39,0.259,0.0297,130.4,0.317,0.7407,58.9,yellowfin
2019-02-15,2019,2,46,7.0,162.0,31.36,0.2364,0.0705,3.44,0.299,0.0109,37.5,0.513,0.3999,63.2,yellowfin
2019-03-15,2019,3,74,26.0,132.0,24.93,0.5126,-0.0255,4.78,0.426,0.1093,57.0,0.513,0.5362,39.8,yellowfin
2019-03-15,2019,3,74,20.0,142.0,26.33,0.3926,0.015,4.45,0.113,0.0207,100.9,0.514,0.7804,44.5,yellowfin
2019-03-15,2019,3,74,15.0,148.0,27.43,0.2926,0.0504,4.19,0.2,0.0391,149.8,0.512,0.8491,56.7,yellowfin
2019-03-15,2019,3,74,10.0,158.0,29.75,0.1926,0.065,2.24,0.287,0.0085,107.5,0.308,0.6218,68.4,yellowfin
2019-03-15,2019,3,74,6.0,165.0,31.57,0.2726,0.0555,3.38,0.295,0.014,51.9,0.51,0.3822,72.1,yellowfin
2019-04-15,2019,4,105,28.0,130.0,23.56,0.56,-0.0476,5.03,0.159,0.068,87.9,0.502,0.2855,33.2,yellowfin
2019-04-15,2019,4,105,24.0,136.0,24.73,0.48,-0.0294,4.77,0.105,0.0797,60.4,0.507,0.4925,41.9,yellowfin
2019-04-15,2019,4,105,18.0,144.0,26.42,0.36,0.0155,4.4,0.141,0.0665,120.8,0.51,0.7818,55.3,yellowfin
2019-04-15,2019,4,105,12.0,155.0,28.47,0.24,0.0476,2.47,0.259,0.0542,84.9,0.318,0.8036,67.8,yellowfin
2019-04-15,2019,4,105,8.0,163.0,30.07,0.24,0.0476,3.65,0.299,0.0067,79.8,0.51,0.6228,75.4,yellowfin
2019-05-15,2019,5,135,30.0,128.0,21.61,0.7926,-0.065,5.36,0.2,0.0274,55.9,0.483,0.0777,28.5,yellowfin
2019-05-15,2019,5,135,25.0,134.0,23.44,0.4926,-0.0504,4.98,0.113,0.0777,64.6,0.495,0.2622,38.1,yellowfin
2019-05-15,2019,5,135,20.0,142.0,25.25,0.3926,-0.015,4.61,0.113,0.0052,115.0,0.504,0.5784,52.6,yellowfin
2019-05-15,2019,5,135,14.0,150.0,27.34,0.2726,0.0255,2.68,0.221,0.0408,163.4,0.326,0.8258,64.2,yellowfin
2019-05-15,2019,5,135,9.0,160.0,28.99,0.2126,0.0344,3.83,0.295,0.0234,52.3,0.507,0.7346,71.9,yellowfin
2019-06-15,2019,6,166,28.0,132.0,21.14,0.5364,-0.0735,5.39,0.459,0.0865,43.2,0.474,0.0513,36.4,yellowfin
2019-06-15,2019,6,166,22.0,140.0,23.76,0.4164,-0.0414,4.88,0.101,0.0665,118.5,0.493,0.3057,48.7,yellowfin
2019-06-15,2019,6,166,16.0,148.0,26.32,0.2964,0.0034,4.37,0.179,0.0706,168.5,0.505,0.7291,62.3,yellowfin
2019-06-15,2019,6,166,10.0,156.0,28.06,0.1764,0.024,2.49,0.287,0.0116,93.8,0.315,0.7267,78.5,yellowfin
2019-06-15,2019,6,166,7.0,164.0,28.78,0.2364,0.0186,3.82,0.299,0.0233,85.3,0.501,0.7801,85.2,yellowfin
2019-07-15,2019,7,196,26.0,134.0,21.23,0.4818,-0.0705,5.34,0.426,0.0704,57.8,0.471,0.0545,42.8,yellowfin
2019-07-15,2019,7,196,20.0,142.0,24.16,0.3618,-0.03,4.78,0.113,0.0089,105.5,0.493,0.3641,55.1,yellowfin
2019-07-15,2019,7,196,14.0,150.0,26.77,0.2418,0.0105,2.76,0.221,0.0663,169.3,0.327,0.7437,68.9,yellowfin
2019-07-15,2019,7,196,9.0,158.0,27.8,0.1818,0.0194,2.51,0.295,0.0193,107.6,0.313,0.734,82.3,yellowfin
2019-07-15,2019,7,196,6.0,166.0,28.35,0.2418,0.0105,3.87,0.295,0.0236,44.9,0.496,0.8106,88.7,yellowfin
2019-08-15,2019,8,227,28.0,130.0,19.89,0.5139,-0.0735,5.58,0.159,0.0872,81.6,0.458,0.0159,40.5,yellowfin
2019-08-15,2019,8,227,22.0,138.0,22.97,0.3939,-0.0414,4.99,0.101,0.0793,137.6,0.484,0.1917,52.3,yellowfin
2019-08-15,2019,8,227,16.0,146.0,26.0,0.2739,0.0034,4.42,0.179,0.0,166.3,0.502,0.6619,65.8,yellowfin
2019-08-15,2019,8,227,11.0,154.0,27.26,0.1739,0.0234,2.63,0.274,0.0517,106.5,0.319,0.6982,79.1,yellowfin
2019-08-15,2019,8,227,7.0,162.0,27.96,0.2139,0.0186,3.95,0.299,0.0209,26.0,0.496,0.7825,86.4,yellowfin
2019-09-15,2019,9,258,27.0,132.0,20.72,0.4909,-0.0596,5.43,0.441,0.0756,61.9,0.467,0.0352,38.9,yellowfin
2019-09-15,2019,9,258,21.0,140.0,23.67,0.3709,-0.0228,4.87,0.105,0.1096,108.0,0.49,0.2853,50.6,yellowfin
2019-09-15,2019,9,258,15.0,148.0,26.56,0.2509,0.0204,4.32,0.2,0.0338,137.5,0.505,0.7267,63.2,yellowfin
2019-09-15,2019,9,258,10.0,157.0,27.59,0.1509,0.035,2.56,0.287,0.0292,106.6,0.316,0.6746,76.8,yellowfin
2019-09-15,2019,9,258,6.0,165.0,28.37,0.2309,0.0255,3.86,0.295,0.0147,68.0,0.496,0.7974,82.1,yellowfin
2019-10-15,2019,10,288,25.0,135.0,22.45,0.4502,-0.0354,5.13,0.113,0.0819,90.0,0.484,0.1385,35.7,yellowfin
2019-10-15,2019,10,288,20.0,143.0,24.62,0.3502,0.0,4.71,0.113,0.013,122.8,0.497,0.4448,46.3,yellowfin
2019-10-15,2019,10,288,14.0,151.0,27.01,0.2302,0.0405,2.73,0.221,0.0422,112.9,0.326,0.7551,58.9,yellowfin
2019-10-15,2019,10,288,9.0,159.0,28.3,0.1702,0.0494,2.43,0.295,0.023,92.8,0.311,0.7124,70.2,yellowfin
2019-10-15,2019,10,288,7.0,167.0,28.74,0.2102,0.0446,3.83,0.299,0.0201,61.1,0.501,0.7513,74.5,yellowfin
2019-11-15,2019,11,319,24.0,136.0,23.81,0.43,-0.0144,4.91,0.105,0.0517,73.2,0.497,0.3148,32.1,yellowfin
2019-11-15,2019,11,319,18.0,144.0,25.95,0.31,0.0305,4.47,0.141,0.0431,129.2,0.506,0.677,43.8,yellowfin
2019-11-15,2019,11,319,13.0,152.0,27.67,0.21,0.0596,2.61,0.241,0.0468,142.3,0.323,0.7723,54.6,yellowfin
2019-11-15,2019,11,319,8.0,160.0,29.34,0.19,0.0626,3.76,0.299,0.0389,79.4,0.507,0.6692,65.3,yellowfin
2019-11-15,2019,11,319,6.0,168.0,29.93,0.23,0.0555,3.63,0.295,0.0226,56.3,0.504,0.6367,68.9,yellowfin
2019-12-15,2019,12,349,25.0,134.0,24.44,0.45,-0.0094,4.83,0.113,0.0416,70.1,0.506,0.4303,34.5,yellowfin
2019-12-15,2019,12,349,20.0,141.0,25.87,0.35,0.026,4.52,0.113,0.0206,178.7,0.51,0.6826,40.2,yellowfin
2019-12-15,2019,12,349,15.0,149.0,27.24,0.25,0.0613,4.21,0.2,0.0462,153.6,0.51,0.7968,50.8,yellowfin
2019-12-15,2019,12,349,10.0,157.0,29.3,0.15,0.076,2.3,0.287,0.0197,76.6,0.31,0.6115,59.1,yellowfin
2019-12-15,2019,12,349,7.0,165.0,30.47,0.21,0.0705,3.57,0.299,0.0314,80.8,0.509,0.5309,62.7,yellowfin
2020-01-15,2020,1,15,24.0,136.0,25.41,0.4418,0.0006,4.67,0.105,0.0958,63.4,0.514,0.6237,43.8,yellowfin
2020-01-15,2020,1,15,18.0,144.0,26.77,0.3218,0.0455,4.34,0.141,0.0781,117.2,0.513,0.8092,51.2,yellowfin
2020-01-15,2020,1,15,12.0,152.0,28.85,0.2018,0.0776,2.41,0.259,0.0617,167.9,0.317,0.7325,60.5,yellowfin
2020-01-15,2020,1,15,8.0,161.0,30.67,0.2018,0.0776,3.56,0.299,0.0101,64.6,0.513,0.4909,66.8,yellowfin
2020-02-15,2020,2,46,26.0,133.0,25.23,0.4964,-0.0145,4.74,0.426,0.082,51.4,0.517,0.596,40.1,yellowfin
2020-02-15,2020,2,46,20.0,141.0,26.49,0.3764,0.026,4.43,0.113,0.0045,130.8,0.516,0.7995,47.5,yellowfin
2020-02-15,2020,2,46,14.0,149.0,27.99,0.2564,0.0664,2.58,0.221,0.0288,151.7,0.325,0.8327,56.9,yellowfin
2020-02-15,2020,2,46,9.0,158.0,30.41,0.1964,0.0754,2.12,0.295,0.0108,118.6,0.301,0.5266,64.2,yellowfin
2020-03-15,2020,3,75,25.0,135.0,25.18,0.4926,-0.0204,4.72,0.113,0.0643,64.2,0.514,0.5858,44.6,yellowfin
2020-03-15,2020,3,75,19.0,143.0,26.55,0.3726,0.0228,4.4,0.126,0.0663,113.9,0.514,0.8066,53.8,yellowfin
2020-03-15,2020,3,75,13.0,151.0,28.37,0.2526,0.0596,2.5,0.241,0.0545,160.4,0.321,0.8216,65.1,yellowfin
2020-03-15,2020,3,75,8.0,160.0,30.68,0.2326,0.0626,3.56,0.299,0.0039,79.6,0.513,0.5144,73.4,yellowfin
2020-04-15,2020,4,106,27.0,131.0,23.85,0.54,-0.0446,4.96,0.441,0.0852,70.4,0.504,0.332,38.2,yellowfin
2020-04-15,2020,4,106,21.0,139.0,25.58,0.42,-0.0078,4.58,0.105,0.0553,92.0,0.509,0.6526,49.7,yellowfin
2020-04-15,2020,4,106,15.0,147.0,27.25,0.3,0.0354,4.21,0.2,0.0604,153.5,0.51,0.8424,62.3,yellowfin
2020-04-15,2020,4,106,10.0,156.0,29.31,0.2,0.05,2.3,0.287,0.0225,106.9,0.31,0.6855,74.8,yellowfin
