date,year,month,day_of_year,lat,lon,sst,chl,ssh,do,current_speed,front_strength,eddy_strength,phi,hsi,cpue_kg_per_day,species
2015-01-01,2015,1,1,26.02,166.87,24.19,0.4373,-0.0901,5.07,0.147,0.0313,95.3,4.561,0.3138,12.76,yellowfin
2015-01-02,2015,1,2,10.63,143.17,30.58,0.1402,0.1052,3.06,0.559,0.025,114.0,3.82,0.3348,16.35,yellowfin
2015-01-04,2015,1,4,7.34,144.8,29.66,0.2023,0.24,3.69,0.301,0.0169,79.0,4.4,0.5043,20.86,yellowfin
2015-01-05,2015,1,5,30.13,165.27,23.59,0.5465,-0.1737,5.1,0.267,0.0174,59.9,4.45,0.2433,13.75,yellowfin
2015-01-05,2015,1,5,27.38,171.57,26.03,0.6273,0.1293,4.6,0.269,0.0358,53.7,4.553,0.6612,21.72,yellowfin
2015-01-08,2015,1,8,28.47,128.82,24.05,0.6623,0.0759,4.21,0.233,0.0318,60.6,3.759,0.3206,19.96,yellowfin
2015-01-08,2015,1,8,31.74,148.52,24.37,0.5882,-0.0747,4.71,0.262,0.0265,74.6,4.276,0.3655,14.04,yellowfin
2015-01-09,2015,1,9,34.69,171.67,23.02,0.7945,0.0919,5.41,0.296,0.0106,171.6,4.579,0.1866,15.31,yellowfin
2015-01-12,2015,1,12,10.81,120.79,29.58,0.308,0.1448,4.28,0.347,0.0226,134.8,5.082,0.5997,21.95,yellowfin
2015-01-15,2015,1,15,32.8,134.15,24.01,0.5787,0.0144,4.74,0.277,0.0331,85.7,4.227,0.3072,13.8,yellowfin
2015-01-15,2015,1,15,25.32,167.81,24.36,0.449,-0.0321,4.37,0.206,0.0373,104.5,3.967,0.3419,18.89,yellowfin
2015-01-16,2015,1,16,11.16,171.12,28.79,0.3343,0.2055,4.14,0.47,0.0478,132.6,4.728,0.692,26.96,yellowfin
2015-01-17,2015,1,17,23.73,139.8,24.91,0.3911,0.066,4.34,0.129,0.0385,85.4,4.053,0.4155,27.05,yellowfin
2015-01-20,2015,1,20,31.88,160.96,23.36,0.5647,0.0533,4.57,0.348,0.0107,136.9,3.936,0.2146,15.82,yellowfin
2015-01-21,2015,1,21,29.4,170.62,24.0,0.6689,-0.0473,5.14,0.192,0.0303,80.7,4.58,0.3141,23.47,yellowfin
2015-01-22,2015,1,22,27.78,131.66,23.18,0.4787,0.1043,4.94,0.253,0.0415,62.1,4.219,0.1862,24.81,yellowfin
2015-01-24,2015,1,24,13.89,165.33,28.13,0.1966,0.1208,4.13,0.249,0.0281,142.4,4.559,0.5909,25.13,yellowfin
2015-01-24,2015,1,24,32.06,137.17,23.79,0.6758,0.0818,5.17,0.285,0.0104,67.4,4.552,0.2822,11.1,yellowfin
2015-01-25,2015,1,25,28.44,148.37,23.86,0.5398,0.1232,5.07,0.389,0.0317,72.2,4.479,0.2794,21.57,yellowfin
2015-01-25,2015,1,25,31.94,168.43,22.32,0.559,-0.0137,5.06,0.301,0.01,68.8,4.128,0.1094,10.17,yellowfin
2015-01-26,2015,1,26,14.21,142.28,28.4,0.2145,0.0029,3.96,0.294,0.0373,161.8,4.429,0.6073,28.63,yellowfin
2015-02-03,2015,2,34,30.87,163.86,24.78,0.568,-0.0538,4.5,0.31,0.0179,151.9,4.171,0.4311,23.91,yellowfin
2015-02-04,2015,2,35,8.76,168.2,31.91,0.1941,0.1208,3.98,0.309,0.011,119.6,5.314,0.2262,18.94,yellowfin
2015-02-05,2015,2,36,10.09,130.73,29.79,0.1282,0.1658,4.15,0.3,0.0232,122.5,4.984,0.3973,24.54,yellowfin
2015-02-08,2015,2,39,29.53,155.07,24.61,0.5321,0.0426,4.41,0.237,0.0475,79.3,4.052,0.3969,24.94,yellowfin
2015-02-10,2015,2,41,13.63,121.9,26.09,0.4511,0.1158,4.4,0.345,0.023,154.3,4.367,0.6238,21.28,yellowfin
2015-02-10,2015,2,41,9.62,173.9,29.55,0.3174,0.1216,4.29,0.291,0.0114,96.5,5.083,0.6096,19.74,yellowfin
2015-02-11,2015,2,42,0.43,148.04,30.91,0.3684,0.1284,3.85,0.49,0.0173,123.0,4.889,0.4365,20.15,yellowfin
