"yy","hks_reported","hks_all","Hks_reported_perc","strata_reported","strata_all","Strata_reported_perc"
"1950",,"40467",,,"16",
"1951","30284","70928","42.696819","2","26","7.692307692307"
"1952","806233.03","1130213.56","71.334574","28","130","21.538461538461"
"1953","815091.81","1238970.2","65.787846","27","148","18.243243243243"
"1954","950141.94","1386500.51","68.528062","27","183","14.754098360655"
"1955","892846.6","1496134.33","59.6769","28","229","12.227074235807"
"1956","973894.89","1480423.79","65.784871","35","229","15.283842794759"
"1957","1112823.43","1711135.81","65.034196","42","229","18.340611353711"
"1958","1428709.84","2166593.08","65.942693","55","257","21.400778210116"
"1959","1535762.59","2312236.21","66.418931","58","253","22.92490118577"
"1960","1770894.86","2543814.26","69.615729","62","261","23.75478927203"
"1961","2042026.31","2813445.84","72.580971","77","264","29.166666666666"
"1962","1797844.67","2591270.11","69.380828","82","291","28.178694158075"
"1963","2178124.06","3163875.79","68.843538","80","326","24.539877300613"
"1964","1262455.85","2215634.68","56.979422","55","334","16.467065868263"
"1965","1860934.64","2941723.65","63.260008","70","343","20.408163265306"
"1966","2121893.34","3072791.86","69.054248","93","373","24.932975871313"
"1967","2330030.96","3427229.66","67.985842","81","435","18.620689655172"
"1968","2554345.71","3593444.61","71.083486","81","436","18.577981651376"
"1969","2014668.85","3077315.55","65.468386","69","403","17.12158808933"
"1970","2342782.44","3499155.67","66.952792","84","473","17.758985200845"
"1971","2653778.03","3875211.33","68.480859","93","470","19.787234042553"
"1972","2356136.98","3467757.3","67.944114","91","443","20.541760722347"
"1973","2636306.99","3694557.93","71.356493","113","423","26.713947990543"
"1974","2909331.42","4131068.15","70.425645","111","454","24.449339207048"
"1975","2448676.55","3609440.16","67.840896","84","479","17.536534446764"
"1976","2378902.96","3729784.19","63.781249","89","489","18.200408997955"
"1977","2274914.79","3707147.7","61.365636","92","564","16.312056737588"
"1978","2523291.21","3695341.31","68.283035","88","531","16.572504708097"
"1979","3520794.89","4821640.94","73.020677","108","539","20.037105751391"
"1980","3752028.5","5144850.53","72.927842","121","582","20.790378006872"
"1981","3315824.15","4807276.72","68.975104","122","593","20.573355817875"
"1982","2851538.18","4335170.07","65.776846","105","535","19.626168224299"
"1983","2441558.2","3773173.22","64.708351","91","460","19.782608695652"
"1984","2714801.69","3994728.63","67.959602","100","488","20.491803278688"
"1985","2894736.47","4132811.18","70.042795","104","467","22.269807280513"
"1986","2394090.07","3615128.18","66.224209","87","433","20.092378752886"
"1987","2707723.8","4016087.91","67.421925","91","426","21.361502347417"
"1988","3616914.45","4827867.08","74.91744","116","438","26.48401826484"
"1989","3061161","4430778.07","69.088565","104","492","21.138211382113"
"1990","3004958.63","4263875.72","70.474817","109","444","24.549549549549"
"1991","2886064.06","4240690.6","68.056463","106","480","22.083333333333"
"1992","4137491.85","5662463.66","73.068757","123","492","25"
"1993","2752474.54","4398145.17","62.582621","106","515","20.582524271844"
"1994","3321501.01","4922103.37","67.481333","122","529","23.062381852551"
"1995","3572642.22","5164003.31","69.183577","125","580","21.551724137931"
"1996","2699204.9","4684016.74","57.625859","98","605","16.198347107438"
"1997","2643152.44","4424509.93","59.738874","103","571","18.038528896672"
"1998","3167767.81","5380670.11","58.873109","111","620","17.903225806451"
"1999","3891009.46","6030324.93","64.524043","114","611","18.657937806873"
"2000","3831923.57","6246213.59","61.347943","126","678","18.58407079646"
"2001","4591543.88","7008048.09","65.518155","131","695","18.848920863309"
"2002","5047837.32","7865430.12","64.177511","165","916","18.013100436681"
"2003","5375447.3","8248333.75","65.170099","178","969","18.369453044375"
"2004","5160322.19","8807640.56","58.589155","164","1041","15.754082612872"
"2005","4557376.26","7526124.35","60.554091","142","961","14.776274713839"
"2006","4513657.42","7591400.07","59.457509","132","952","13.865546218487"
"2007","5151858.74","8645037.72","59.593247","169","972","17.38683127572"
"2008","5597996.06","9015907.98","62.090208","181","908","19.933920704845"
"2009","5796810.65","9821479.29","59.021767","174","930","18.709677419354"
"2010","5517484.55","9624822.02","57.325574","177","982","18.024439918533"
"2011","5893758.85","10533236.46","55.953921","198","1070","18.504672897196"
"2012","6477911.52","10664930.7","60.740305","208","1194","17.420435510887"
"2013","5057928.27","8705198.04","58.102391","173","1126","15.364120781527"
"2014","5310835.13","9485298.01","55.990176","167","1051","15.889628924833"
"2015","5505206.01","9303667.46","59.172428","169","1051","16.079923882017"
"2016","4746967.79","8696626.87","54.584011","157","1086","14.456721915285"
"2017","5071654.71","7555458.53","67.125703","160","1088","14.705882352941"
"2018","5230689.22","8774474.63","59.612563","162","1083","14.958448753462"
"2019","5626646.2","8920629.34","63.074543","170","1091","15.58203483043"
"2020","4537305.58","6806414.28","66.662201","150","1376","10.901162790697"
"2021","4101586.99","6256950.78","65.552489","115","1420","8.098591549295"
"2022","4211730.03","6268474.12","67.189079","130","1271","10.228166797797"
"2023","4152760.63","5956348.29","69.719909","139","1251","11.111111111111"
"2024","4903960.92","6668177.25","73.542749","145","1170","12.393162393162"
"2025",,"820325.55",,,"437",
