"yy","hks_reported","hks_all","Hks_reported_perc","strata_reported","strata_all","Strata_reported_perc"
"1950","34153","40467","84.397163","12","40","30"
"1951","59115","70928","83.345082","21","72","29.166666666666"
"1952","991401.55","1130213.56","87.718072","244","620","39.354838709677"
"1953","1067971.66","1238970.2","86.198333","278","790","35.189873417721"
"1954","1174182.86","1386500.51","84.686796","264","1006","26.24254473161"
"1955","1223796.93","1496134.33","81.797262","331","1346","24.591381872213"
"1956","1208062.27","1480423.79","81.602462","303","1325","22.867924528301"
"1957","1434460.86","1711135.81","83.830918","401","1304","30.751533742331"
"1958","1859564.62","2166593.08","85.828974","491","1468","33.446866485013"
"1959","2016728.88","2312236.21","87.219846","535","1482","36.099865047233"
"1960","2243037.42","2543814.26","88.176147","581","1536","37.825520833333"
"1961","2493422.52","2813445.84","88.625218","661","1579","41.861937935402"
"1962","2217052.33","2591270.11","85.558519","684","1807","37.852794687327"
"1963","2731799.55","3163875.79","86.343451","688","2022","34.02571711177"
"1964","1809965.45","2215634.68","81.690608","563","2013","27.968206656731"
"1965","2513698.66","2941723.65","85.449857","745","2093","35.594839942666"
"1966","2635380.54","3072791.86","85.765019","780","2188","35.648994515539"
"1967","2992402.71","3427229.66","87.312582","760","2235","34.00447427293"
"1968","3150234.17","3593444.61","87.666139","746","2205","33.832199546485"
"1969","2690766.78","3077315.55","87.438767","741","1974","37.537993920972"
"1970","3048618.04","3499155.67","87.12439","773","2243","34.462773071778"
"1971","3437374","3875211.33","88.701588","843","2205","38.231292517006"
"1972","3044289.16","3467757.3","87.788414","770","2050","37.560975609756"
"1973","3290387.74","3694557.93","89.060391","843","2005","42.044887780548"
"1974","3736434.21","4131068.15","90.447169","855","2031","42.097488921713"
"1975","3244719.5","3609440.16","89.895367","846","1963","43.097300050942"
"1976","3327106.95","3729784.19","89.203738","974","2195","44.373576309794"
"1977","3267675.27","3707147.7","88.145267","949","2194","43.254329990884"
"1978","3251973.81","3695341.31","88.001987","877","2165","40.508083140877"
"1979","4366437.75","4821640.94","90.559164","1038","2305","45.032537960954"
"1980","4737703.92","5144850.53","92.086327","1124","2302","48.827106863596"
"1981","4305556.38","4807276.72","89.563314","1169","2552","45.807210031347"
"1982","3907476.54","4335170.07","90.13433","1090","2334","46.700942587832"
"1983","3364905.02","3773173.22","89.179712","906","2090","43.34928229665"
"1984","3570134.81","3994728.63","89.371147","991","2176","45.542279411764"
"1985","3766931.12","4132811.18","91.146944","988","2049","48.218643240605"
"1986","3213376.64","3615128.18","88.886935","839","2014","41.658391261171"
"1987","3644820.44","4016087.91","90.755494","920","1998","46.046046046046"
"1988","4465494.85","4827867.08","92.494154","1021","2055","49.683698296836"
"1989","4072311.08","4430778.07","91.909615","964","2005","48.079800498753"
"1990","3933485.82","4263875.72","92.251418","898","1884","47.664543524416"
"1991","3879065.08","4240690.6","91.472485","893","1983","45.032778618255"
"1992","5288123.82","5662463.66","93.389099","937","2035","46.044226044226"
"1993","3985939.01","4398145.17","90.627727","1013","2196","46.129326047358"
"1994","4509544.43","4922103.37","91.618239","1094","2260","48.407079646017"
"1995","4786945.32","5164003.31","92.698339","1080","2167","49.838486386709"
"1996","4280622.97","4684016.74","91.387866","1007","2191","45.960748516659"
"1997","4017905.31","4424509.93","90.810177","991","2160","45.879629629629"
"1998","4968681.23","5380670.11","92.343167","1107","2234","49.552372426141"
"1999","5614676.43","6030324.93","93.107361","1182","2344","50.426621160409"
"2000","5777202.02","6246213.59","92.491265","1179","2419","48.739148408433"
"2001","6585909.46","7008048.09","93.976373","1238","2398","51.62635529608"
"2002","7467268.64","7865430.12","94.937829","1367","2512","54.418789808917"
"2003","7813132.98","8248333.75","94.723773","1425","2615","54.493307839388"
"2004","8377450.71","8807640.56","95.115719","1426","2630","54.220532319391"
"2005","7101772.92","7526124.35","94.36162","1306","2514","51.949085123309"
"2006","7184221.18","7591400.07","94.636313","1323","2539","52.107128790862"
"2007","8203749.65","8645037.72","94.895475","1609","2763","58.233803836409"
"2008","8606730.37","9015907.98","95.461603","1594","2641","60.355925785687"
"2009","9332271.16","9821479.29","95.018997","1606","2878","55.802640722724"
"2010","9122691.73","9624822.02","94.782965","1537","2834","54.234297812279"
"2011","10121463.78","10533236.46","96.090729","1764","2854","61.807988787666"
"2012","10238616.44","10664930.7","96.002653","1734","2875","60.31304347826"
"2013","8268156.49","8705198.04","94.979533","1496","2683","55.7584793142"
"2014","9065359.25","9485298.01","95.57274","1496","2603","57.472147522089"
"2015","8893321.03","9303667.46","95.589412","1507","2637","57.148274554417"
"2016","8266547.08","8696626.87","95.054636","1463","2588","56.530139103554"
"2017","7142710.57","7555458.53","94.537089","1530","2667","57.367829021372"
"2018","8344690.83","8774474.63","95.101885","1560","2753","56.665455866327"
"2019","8505834.12","8920629.34","95.350157","1649","2743","60.116660590594"
"2020","6262151.95","6806414.28","92.003684","1390","2850","48.771929824561"
"2021","5679163.54","6256950.78","90.765673","1246","2798","44.531808434596"
"2022","5595008.65","6268474.12","89.256309","1282","2712","47.271386430678"
"2023","5235387.98","5956348.29","87.895934","1336","2821","47.359092520382"
"2024","5688049.71","6668177.25","85.301417","1300","2746","47.34158776402"
"2025",,"820325.55",,,"1039",
