"YY","QTR","flag_code","LAT5","LON5","cwp_grid","HHOOKS","ALB_C","ALB_N","YFT_C","YFT_N","BET_C","BET_N","MLS_C","MLS_N","BLM_C","BLM_N","BUM_C","BUM_N","SWO_C","SWO_N","OTH_C","OTH_N"
"1950","2","  ","00N","140E","61000014000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1950","2","  ","00N","145E","61000014500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1950","2","  ","05N","140E","61050014000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1950","2","  ","05N","145E","61050014500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1950","2","  ","05N","150E","61050015000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1950","3","  ","00N","140E","61000014000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1950","3","  ","00N","145E","61000014500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1950","3","  ","05N","140E","61050014000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1950","3","  ","05N","145E","61050014500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1950","3","  ","05N","150E","61050015000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1950","3","  ","05N","155E","61050015500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1950","3","  ","05N","160E","61050016000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1950","3","  ","05N","165E","61050016500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1950","3","  ","10N","160E","61100016000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1950","3","JP","00N","150E","61000015000","4675","0.131","10","261.056","10294","51.822","1669","0.539","7","0","0","133.324","2281","0","0","308.179","12434"
"1950","3","JP","00N","155E","61000015500","11396","12.129","928","739.167","29147","113.551","3657","0","0","0","0","264.837","4531","0.189","4","879.11","35651"
"1950","3","JP","00N","160E","61000016000","3994","1.869","143","249.492","9838","45.705","1472","4.698","61","0","0","175.175","2997","0","0","284.847","11534"
"1950","3","JP","00N","165E","61000016500","6692","2.849","218","454.731","17931","56.945","1834","1.848","24","0","0","295.757","5060","0","0","521.98","20997"
"1950","4","  ","00N","130E","61000013000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1950","4","  ","00N","135E","61000013500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1950","4","  ","00N","140E","61000014000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1950","4","  ","05N","160E","61050016000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1950","4","  ","05N","175E","61050017500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1950","4","  ","10N","160E","61100016000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","1","  ","00N","135E","61000013500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","1","  ","00N","140E","61000014000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","1","  ","00N","145E","61000014500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","1","  ","00N","150E","61000015000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","1","  ","00N","155E","61000015500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","1","  ","00N","160E","61000016000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","1","  ","05N","155E","61050015500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","2","  ","00N","135E","61000013500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","2","  ","00N","140E","61000014000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","2","  ","00N","145E","61000014500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","2","  ","00N","165E","61000016500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","2","  ","05N","145E","61050014500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","2","  ","05N","150E","61050015000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","2","  ","05N","155E","61050015500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","2","  ","05N","160E","61050016000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","2","  ","10N","150E","61100015000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","2","  ","10N","155E","61100015500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","2","  ","10N","160E","61100016000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","2","  ","15N","150E","61150015000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","2","  ","20N","150E","61200015000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","2","JP","00N","150E","61000015000","5144","0","0","332.952","13129","97.467","3139","0","0","0","0","133.734","2288","0","0","363.77","14602"
"1951","2","JP","00N","155E","61000015500","7311","6.509","498","482.855","19040","141.495","4557","8.317","108","0","0","167.751","2870","21.118","446","533.383","22105"
"1951","2","JP","00N","160E","61000016000","5329","0","0","317.988","12539","88.989","2866","0","0","0","0","116.14","1987","0","0","357.434","14832"
"1951","3","  ","00N","150E","61000015000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","3","  ","05N","150E","61050015000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","3","  ","05N","155E","61050015500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","3","  ","05N","160E","61050016000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","3","  ","05N","175E","61050017500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","3","  ","10N","160E","61100016000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","3","  ","10N","165E","61100016500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","3","  ","10N","170E","61100017000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","3","  ","10N","175E","61100017500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","3","  ","20N","155E","61200015500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","3","  ","20N","160E","61200016000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","3","  ","25N","155E","61250015500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","3","  ","25N","170E","61250017000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","3","JP","00N","155E","61000015500","6988","17.409","1332","409.691","16155","128.733","4146","0","0","0","0","135.663","2321","0","0","469.501","19112"
"1951","3","JP","00N","160E","61000016000","7161","21.33","1632","419.454","16540","185.804","5984","0","0","0","0","134.318","2298","0","0","491.592","20495"
"1951","3","JP","00N","165E","61000016500","7218","16.442","1258","370.408","14606","214.928","6922","0","0","0","0","181.896","3112","0","0","459.933","19332"
"1951","3","JP","05N","165E","61050016500","3827","3.372","258","150.435","5932","98.677","3178","4.697","61","0","0","166.699","2852","0","0","208.259","8747"
"1951","3","JP","05N","170E","61050017000","6143","2.758","211","239.804","9456","171.054","5509","0","0","0","0","305.927","5234","0","0","337.113","14224"
"1951","4","  ","00N","165E","61000016500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","4","  ","05N","165E","61050016500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","4","  ","05N","170E","61050017000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","4","  ","10N","175E","61100017500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1951","4","JP","05N","175E","61050017500","6602","0","0","86.655","3417","147.177","4740","0","0","0","0","253.439","4336","0","0","195.466","8825"
"1952","1","  ","00N","125E","61000012500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1952","1","  ","00N","150E","61000015000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1952","1","  ","00N","155E","61000015500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
