"yy","hks_reported","hks_all","Hks_reported_perc","strata_reported","strata_all","Strata_reported_perc"
"1950","26757","40467","66.120542","4","24","16.666666666666"
"1951","55723","70928","78.562767","9","46","19.565217391304"
"1952","945937.31","1130213.56","83.695448","93","314","29.617834394904"
"1953","1005568.69","1238970.2","81.161652","107","387","27.648578811369"
"1954","1118439.91","1386500.51","80.66639","102","503","20.27833001988"
"1955","1136303.71","1496134.33","75.94931","121","641","18.876755070202"
"1956","1121175.08","1480423.79","75.733387","108","637","16.954474097331"
"1957","1338447.88","1711135.81","78.21985","146","615","23.739837398373"
"1958","1725584.25","2166593.08","79.645054","185","707","26.166902404526"
"1959","1898591.6","2312236.21","82.110624","205","721","28.432732316227"
"1960","2114278.36","2543814.26","83.114494","222","745","29.79865771812"
"1961","2341480.2","2813445.84","83.22464","257","734","35.013623978201"
"1962","2054527.89","2591270.11","79.286519","253","865","29.248554913294"
"1963","2536960.21","3163875.79","80.185202","256","959","26.694473409801"
"1964","1644423.27","2215634.68","74.219061","214","958","22.338204592901"
"1965","2267693.62","2941723.65","77.087241","276","1023","26.979472140762"
"1966","2383904.93","3072791.86","77.581074","300","1096","27.372262773722"
"1967","2672065.49","3427229.66","77.965755","281","1197","23.475355054302"
"1968","2839195.64","3593444.61","79.010418","266","1227","21.678891605541"
"1969","2422762.47","3077315.55","78.729738","269","1054","25.521821631878"
"1970","2737771.76","3499155.67","78.240924","280","1216","23.026315789473"
"1971","3056048.34","3875211.33","78.861462","303","1236","24.514563106796"
"1972","2763215.84","3467757.3","79.68308","306","1148","26.655052264808"
"1973","2962969.26","3694557.93","80.198208","338","1114","30.341113105924"
"1974","3408834.37","4131068.15","82.51702","362","1130","32.035398230088"
"1975","2832425.46","3609440.16","78.472708","302","1152","26.215277777777"
"1976","2885438.54","3729784.19","77.362077","343","1283","26.734216679657"
"1977","2813152.03","3707147.7","75.884541","346","1440","24.027777777777"
"1978","2879825.44","3695341.31","77.931243","305","1348","22.626112759643"
"1979","3877696.52","4821640.94","80.422755","380","1435","26.480836236933"
"1980","4151485.06","5144850.53","80.692044","395","1522","25.952693823915"
"1981","3731576.73","4807276.72","77.623505","421","1634","25.764993880048"
"1982","3267360.47","4335170.07","75.36868","359","1440","24.930555555555"
"1983","2847895.48","3773173.22","75.477464","302","1185","25.48523206751"
"1984","3072798.04","3994728.63","76.921321","353","1256","28.105095541401"
"1985","3266637.03","4132811.18","79.041526","358","1170","30.59829059829"
"1986","2739911.89","3615128.18","75.790172","299","1119","26.720285969615"
"1987","3036023.93","4016087.91","75.59655","311","1109","28.043282236248"
"1988","3794144.06","4827867.08","78.588411","348","1168","29.794520547945"
"1989","3356073.7","4430778.07","75.744567","338","1231","27.457351746547"
"1990","3323398.58","4263875.72","77.943139","344","1134","30.335097001763"
"1991","3246223.24","4240690.6","76.5494","339","1229","27.583401139137"
"1992","4419809.53","5662463.66","78.054532","362","1324","27.341389728096"
"1993","3120913.21","4398145.17","70.959758","354","1417","24.982357092448"
"1994","3660238.38","4922103.37","74.363297","407","1450","28.068965517241"
"1995","3850463.63","5164003.31","74.563539","410","1504","27.260638297872"
"1996","3023116.11","4684016.74","64.541103","346","1509","22.929092113982"
"1997","2944888.41","4424509.93","66.558521","345","1476","23.373983739837"
"1998","3700041.74","5380670.11","68.765444","423","1563","27.063339731285"
"1999","4247248.08","6030324.93","70.431496","423","1591","26.587052168447"
"2000","4118247.76","6246213.59","65.931907","431","1747","24.670864338866"
"2001","4987859.06","7008048.09","71.173299","491","1750","28.057142857142"
"2002","5639658.82","7865430.12","71.701848","609","2170","28.064516129032"
"2003","5902412.26","8248333.75","71.558843","604","2338","25.834046193327"
"2004","5740135.71","8807640.56","65.172229","609","2565","23.742690058479"
"2005","5133317.43","7526124.35","68.206651","548","2340","23.418803418803"
"2006","5151690.66","7591400.07","67.862194","546","2349","23.243933588761"
"2007","5717993.59","8645037.72","66.141916","659","2531","26.037139470564"
"2008","6093221.89","9015907.98","67.583008","654","2320","28.189655172413"
"2009","6205833.45","9821479.29","63.186341","621","2471","25.131525698097"
"2010","6193532.66","9624822.02","64.349581","704","2643","26.636398032538"
"2011","6622572.6","10533236.46","62.873102","786","2832","27.754237288135"
"2012","7043980.03","10664930.7","66.048061","767","3237","23.694779116465"
"2013","5714184.24","8705198.04","65.641059","674","2827","23.841528121683"
"2014","5931583.21","9485298.01","62.534495","642","2615","24.550669216061"
"2015","6038397.12","9303667.46","64.903406","648","2760","23.478260869565"
"2016","5359062.12","8696626.87","61.622307","628","2797","22.452627815516"
"2017","5666376.64","7555458.53","74.997124","639","2745","23.27868852459"
"2018","5868962.48","8774474.63","66.886767","663","2765","23.978300180831"
"2019","6404175.76","8920629.34","71.790627","702","2799","25.08038585209"
"2020","5187138.43","6806414.28","76.20956","593","3465","17.113997113997"
"2021","4745233.61","6256950.78","75.839394","512","3457","14.810529360717"
"2022","4831949.69","6268474.12","77.083347","551","3182","17.316153362664"
"2023","4606148.33","5956348.29","77.331749","544","3155","17.242472266244"
"2024","5358992.51","6668177.25","80.366677","558","3094","18.0349062702"
"2025",,"820325.55",,,"813",
