"yy","days_reported","days_all","Days_reported_perc","strata_reported","strata_all","strata_reported_perc"
"1967",,"8",,,"4",
"1968",,"51",,,"13",
"1969",,"17",,,"7",
"1970","3000","3087","97.181729","36","71","50.704225352112"
"1971","5273.2","5502.96","95.824792","43","83","51.807228915662"
"1972","5790.94","6029.47","96.04393","47","79","59.493670886075"
"1973","6656.14","6965.2","95.562797","52","105","49.523809523809"
"1974","5629.92","6133","91.797162","45","109","41.284403669724"
"1975","2148.25","3512.92","61.15283","23","131","17.557251908396"
"1976","2115.54","3508.97","60.289486","20","130","15.384615384615"
"1977","2791.59","3861.02","72.301878","40","131","30.534351145038"
"1978","2138.71","3266.06","65.482875","28","148","18.918918918918"
"1979","4786.43","5589.11","85.6385","55","135","40.74074074074"
"1980","3655","5959.31","61.332603","43","177","24.293785310734"
"1981","6406.3","10947.7","58.517314","70","410","17.073170731707"
"1982","9996.27","15469.09","64.620931","111","500","22.2"
"1983","15495.54","23852.52","64.963953","135","605","22.314049586776"
"1984","20333.38","30012.48","67.749749","135","593","22.765598650927"
"1985","18086.93","25131.24","71.969906","138","578","23.875432525951"
"1986","17939.45","25195.71","71.200414","138","545","25.321100917431"
"1987","21218.02","29202.86","72.657335","188","570","32.98245614035"
"1988","23382.85","28108.64","83.187411","182","590","30.847457627118"
"1989","27607.22","31597.39","87.371836","206","596","34.563758389261"
"1990","30440.17","35444.04","85.882337","281","702","40.02849002849"
"1991","38979.7","43484.58","89.640281","274","638","42.946708463949"
"1992","42635.23","46511.19","91.666607","327","695","47.05035971223"
"1993","43395.53","48491.35","89.49128","349","791","44.121365360303"
"1994","39173.35","44377.58","88.272839","337","739","45.602165087956"
"1995","40307.23","44029.72","91.545506","265","718","36.908077994428"
"1996","42469.26","46372.07","91.583705","339","748","45.320855614973"
"1997","43089.46","47244.23","91.205762","405","845","47.92899408284"
"1998","43413.13","46045.3","94.28352","400","850","47.058823529411"
"1999","43600.83","47436.55","91.913998","448","901","49.722530521642"
"2000","42627.86","47255.06","90.208032","430","908","47.356828193832"
"2001","43008.26","46654.12","92.185341","396","874","45.308924485125"
"2002","47829.52","50969.71","93.839105","425","945","44.973544973544"
"2003","50397.47","54708.65","92.119747","358","858","41.724941724941"
"2004","52023.01","59274.65","87.766034","430","985","43.654822335025"
"2005","54110.46","59854.8","90.402874","422","909","46.424642464246"
"2006","51964.53","56760.78","91.550063","371","823","45.078979343863"
"2007","56921.7","61250.84","92.932113","403","897","44.927536231884"
"2008","62491.29","66539.58","93.915967","456","989","46.107178968655"
"2009","62162.77","65569.64","94.804195","469","924","50.757575757575"
"2010","60979.6","64682.44","94.275355","468","923","50.704225352112"
"2011","68311.18","72748.8","93.900078","525","1006","52.186878727634"
"2012","66441.81","70506.91","94.234465","561","985","56.954314720812"
"2013","74354.6","78634.24","94.557536","553","993","55.689828801611"
"2014","70126.34","73503.83","95.405014","572","950","60.210526315789"
"2015","53127.98","56153.57","94.611936","558","939","59.424920127795"
"2016","56584.4","61281.03","92.335915","535","933","57.341907824222"
"2017","65880.59","69696.84","94.5245","598","954","62.683438155136"
"2018","56437.78","59539.05","94.7912","579","963","60.1246105919"
"2019","57323.25","60275.56","95.101978","539","895","60.22346368715"
"2020","79119.83","81985.27","96.504933","599","956","62.65690376569"
"2021","83393.38","81868.07","101.863131","607","944","64.300847457627"
"2022","83108.31","78424.96","105.971759","574","975","58.871794871794"
"2023","72767.36","72087.15","100.943593","593","966","61.387163561076"
"2024","73738.53","70151.29","105.113576","573","908","63.105726872246"
