timestamp,run_id,rank,lat,lon,species,hsi_pct,phi,sst,chl,npp,do,depth_m,mld_m,z20_m,front_pct,eddy_pct,convergence_pct,cpue_index,cpue_ci_low,cpue_ci_high,gfw_density,hook_depth_optimal,distance_nm,eez
2026-02-25 04:20:49,20260225_042049,1,6.2500,125.7500,yellowfin,0,2.15,28.5,0.2888,5000,0.0,890,39,145,0.41,0.011,1.0,52,43,66,0.192,81,1027,菲律賓EEZ
2026-02-25 04:20:49,20260225_042049,2,6.7500,126.0000,yellowfin,0,2.19,28.4,0.3388,5000,0.0,920,54,150,0.578,0.0,1.0,52,42,64,0.188,81,1003,菲律賓EEZ
2026-02-25 04:20:49,20260225_042049,3,6.7500,126.5000,yellowfin,0,2.24,28.4,0.1509,2827,0.0,1280,43,127,0.333,0.0,0.0,52,41,65,0.232,81,1012,菲律賓EEZ
2026-02-25 04:20:49,20260225_042049,4,9.0000,126.2500,bigeye,0,5.67,24.4,1.3916,5000,0.0,1311,30,150,0.667,0.0,1.0,35,27,46,0.082,169,881,菲律賓EEZ
2026-02-25 04:20:49,20260225_042049,5,10.7500,125.7500,bigeye,0,5.32,24.4,0.9697,5000,0.0,913,30,150,0.764,0.0,1.0,35,28,47,0.022,169,773,菲律賓EEZ
2026-02-25 04:20:49,20260225_042049,6,18.7500,129.0000,bigeye,0,5.69,24.0,0.0890,1212,0.0,5464,101,208,0.333,0.0,0.0,37,28,47,0.100,169,536,公海
2026-02-25 04:20:49,20260225_042049,7,5.0000,128.5000,skipjack,0,1.64,28.8,0.0000,nan,0.0,5536,29,86,0.0,0.0,0.979,56,47,69,0.571,22,1150,公海
2026-02-25 04:20:49,20260225_042049,8,5.0000,129.0000,skipjack,0,1.64,28.9,0.0000,nan,0.0,5017,23,109,0.0,0.0,1.0,56,45,68,0.613,22,1162,公海
2026-02-25 04:20:49,20260225_042049,9,5.0000,129.5000,skipjack,0,1.65,28.9,0.0000,nan,0.0,5068,22,137,0.0,0.0,0.0,56,45,69,0.640,22,1174,公海
2026-02-25 04:20:49,20260225_042049,10,20.5000,129.5000,albacore,0,3.32,23.5,0.0890,1168,0.0,5772,78,187,0.667,0.0,0.0,29,22,39,0.143,124,526,公海
2026-02-25 04:20:49,20260225_042049,11,21.0000,126.2500,albacore,0,3.24,23.9,0.2461,3292,0.0,5468,90,171,0.333,0.0,0.394,30,22,39,0.582,125,344,公海
2026-02-25 04:20:49,20260225_042049,12,21.0000,130.0000,albacore,0,3.51,22.3,0.0890,1080,0.0,5610,121,175,0.366,0.0,0.544,30,22,40,0.127,121,547,公海
2026-02-25 04:20:49,20260225_042049,13,23.2500,134.0000,japanese_flying_squid,0,3.08,22.4,0.1289,1551,0.0,4607,26,151,0.667,0.0,0.225,40,30,55,0.117,82,761,公海
