yy,mm,lat5,lon5,days,alb_n,alb_c
1983,11,"30S","170W",0,0,0.000
1983,11,"35S","170W",133,886,4.960
1983,12,"35S","165W",0,0,0.000
1983,12,"35S","170W",133,870,4.872
1983,12,"40S","165W",0,0,0.000
1983,12,"40S","170W",248,3822,21.402
1984,1,"35S","165E",85,53,0.299
1984,1,"40S","170W",704,3850,21.560
1984,1,"40S","175W",88,966,5.408
1984,1,"45S","160E",59,1094,6.126
1984,1,"45S","160W",851,19868,111.262
1984,1,"45S","165W",411,8377,46.913
1984,1,"45S","170W",293,3773,21.125
1984,2,"40S","160E",419,7452,41.730
1984,2,"40S","165W",85,67,0.374
1984,2,"45S","155E",0,0,0.000
1984,2,"45S","160E",2289,56782,317.981
1984,2,"45S","160W",1139,31079,174.042
1984,2,"45S","165W",803,7382,41.340
1984,2,"45S","170W",147,1187,6.649
1984,2,"50S","160W",499,12299,68.876
1984,2,"50S","165W",171,1694,9.487
1984,3,"35S","160E",264,552,3.092
1984,3,"40S","160E",323,3823,21.410
1984,3,"45S","155E",0,0,0.000
1984,3,"45S","155W",85,363,2.033
1984,3,"45S","160E",846,19111,107.020
1984,3,"45S","160W",1371,13073,73.209
1984,3,"45S","165E",117,2812,15.746
1984,3,"45S","165W",2516,46391,259.788
1984,3,"45S","170W",147,2073,11.608
1984,3,"45S","175W",0,0,0.000
1984,4,"35S","160E",88,571,3.196
1984,4,"35S","165W",0,0,0.000
1984,4,"35S","175W",85,0,0.000
1984,4,"40S","160E",616,13697,76.704
1984,4,"40S","175W",85,21,0.120
1984,5,"40S","160E",293,11542,64.634
1984,5,"45S","160E",88,4546,25.458
1984,12,"40S","160E",0,0,0.000
1984,12,"45S","160E",165,4178,23.398
1985,1,"40S","155E",150,10579,59.242
1985,1,"40S","160E",724,22191,124.266
1985,1,"45S","155E",274,24423,136.770
1985,1,"45S","160E",1304,60706,339.955
1985,2,"45S","155E",1009,40195,225.093
1985,2,"45S","160E",1451,32640,182.787
1985,2,"45S","165W",0,0,0.000
1985,3,"40S","165W",228,3193,17.878
1985,3,"40S","170W",0,0,0.000
1985,3,"45S","160E",114,1074,6.013
1985,3,"45S","160W",171,3907,21.877
1985,3,"45S","165W",398,6895,38.612
1985,3,"45S","170W",256,5017,28.092
1985,4,"40S","170W",0,0,0.000
1985,12,"40S","155E",3203,113310,634.535
1985,12,"40S","160E",657,13195,73.891
1985,12,"45S","155E",57,1371,7.679
1985,12,"45S","160E",114,3751,21.008
1986,1,"40S","155E",4099,109698,614.310
1986,1,"40S","160E",0,0,0.000
1986,1,"45S","155E",3465,50000,279.999
1986,1,"45S","160E",4525,69234,387.708
1986,2,"40S","155E",0,0,0.000
1986,2,"40S","160E",71,2801,15.688
1986,2,"45S","155E",1096,15550,87.078
1986,2,"45S","160E",3805,61766,345.889
1986,3,"35S","170W",273,1844,10.326
1986,3,"40S","155E",71,2755,15.429
1986,3,"40S","160E",0,0,0.000
1986,3,"45S","160E",496,8351,46.766
1986,12,"35S","165W",85,2950,16.521
1986,12,"35S","170W",596,9234,51.709
1986,12,"40S","165W",85,3362,18.826
1986,12,"40S","170W",557,2993,16.759
1986,12,"40S","180W",0,0,0.000
1987,1,"40S","155E",509,14033,78.582
1987,1,"40S","160E",94,2356,13.194
1987,1,"45S","155E",386,9928,55.595
1987,1,"45S","160E",898,24956,139.752
1987,2,"45S","160E",2192,65033,364.182
1987,3,"45S","155E",140,1269,7.106
1987,3,"45S","160E",105,978,5.478
1987,11,"40S","160E",0,0,0.000
1987,12,"40S","155E",228,18441,103.267
1987,12,"40S","160E",329,23316,130.570
1987,12,"45S","155E",55,3676,20.585
1988,1,"35S","160E",0,0,0.000
1988,1,"40S","155E",1889,82719,463.226
1988,1,"40S","160E",2216,97122,543.883
1988,1,"45S","155E",494,22438,125.653
1988,1,"45S","160E",0,0,0.000
1988,2,"40S","155E",0,0,0.000
1988,2,"40S","160E",190,15275,85.540
1988,2,"45S","155E",165,13480,75.488
1988,2,"45S","160E",341,24567,137.575
1988,3,"40S","160E",0,0,0.000
1988,3,"45S","155E",0,0,0.000
1988,3,"45S","160E",110,5810,32.536
1988,10,"30S","135W",0,0,0.000
1988,10,"35S","135W",0,0,0.000
1988,10,"35S","140W",0,0,0.000
1988,10,"35S","145W",0,0,0.000
1988,10,"35S","150W",0,0,0.000
1988,10,"35S","155W",0,0,0.000
1988,10,"40S","140W",0,0,0.000
1988,10,"40S","145W",0,0,0.000
1988,10,"40S","150W",0,0,0.000
1988,10,"40S","155W",0,0,0.000
1988,11,"35S","145W",0,0,0.000
1988,11,"35S","150W",0,0,0.000
1988,11,"35S","155W",0,0,0.000
1988,11,"35S","160E",0,0,0.000
1988,11,"35S","160W",0,0,0.000
1988,11,"35S","165W",857,33255,266.038
1988,11,"35S","170W",72,2805,22.437
1988,11,"40S","140W",0,0,0.000
1988,11,"40S","145W",0,0,0.000
1988,11,"40S","150W",0,0,0.000
1988,11,"40S","155E",213,8841,49.510
1988,11,"40S","155W",0,0,0.000
1988,11,"40S","160E",957,36327,203.431
1988,11,"40S","160W",0,0,0.000
1988,11,"40S","165W",1108,43029,344.236
1988,11,"40S","170W",0,0,0.000
1988,12,"35S","145W",0,0,0.000
1988,12,"35S","150W",0,0,0.000
1988,12,"35S","155W",567,32393,295.957
1988,12,"35S","160W",498,26743,221.799
1988,12,"35S","165W",456,26023,210.338
1988,12,"40S","130W",0,0,0.000
1988,12,"40S","140W",0,0,0.000
1988,12,"40S","145W",0,0,0.000
1988,12,"40S","150W",0,0,0.000
1988,12,"40S","155E",8817,488928,2737.997
1988,12,"40S","155W",258,14747,117.860
1988,12,"40S","160E",2660,142652,798.851
1988,12,"40S","160W",666,24609,165.327
1988,12,"40S","165W",70,3974,28.672
1988,12,"40S","170W",87,4951,38.578
1988,12,"40S","175W",0,0,0.000
1988,12,"40S","180W",0,0,0.000
1988,12,"45S","155E",1091,102684,575.030
1988,12,"45S","160E",632,34418,192.741
1989,1,"35S","155W",165,4012,32.238
1989,1,"35S","160E",0,0,0.000
1989,1,"35S","160W",252,6141,49.076
1989,1,"35S","165W",181,4403,33.789
1989,1,"35S","170W",0,0,0.000
1989,1,"40S","130W",0,0,0.000
1989,1,"40S","135W",0,0,0.000
1989,1,"40S","140W",0,0,0.000
1989,1,"40S","145W",222,5385,37.714
1989,1,"40S","150W",167,4075,39.243
1989,1,"40S","155E",13176,384362,2152.617
1989,1,"40S","155W",11834,287772,2312.732
1989,1,"40S","160E",11838,223530,1251.849
1989,1,"40S","160W",2094,50919,356.456
1989,1,"40S","165W",9940,241735,1691.535
1989,1,"40S","170W",72,1744,12.226
1989,1,"40S","175W",216,5254,39.294
1989,1,"45S","155E",6807,198093,1109.320
1989,1,"45S","160E",7190,143511,803.662
1989,1,"45S","160W",175,4264,34.076
1989,1,"45S","165E",50,871,4.877
1989,1,"45S","165W",0,0,0.000
1989,2,"30S","150W",0,0,0.000
1989,2,"35S","155W",63,2848,22.790
1989,2,"35S","160E",0,0,0.000
1989,2,"35S","160W",108,4874,36.212
1989,2,"40S","145E",0,0,0.000
1989,2,"40S","145W",84,23479,131.928
1989,2,"40S","150W",1007,85176,477.172
1989,2,"40S","155E",74,2952,16.531
1989,2,"40S","155W",933,42284,295.996
1989,2,"40S","160E",555,7277,40.752
1989,2,"40S","160W",528,23424,163.869
1989,2,"40S","165W",3949,174405,1217.596
1989,2,"40S","170W",753,24881,169.814
1989,2,"40S","175W",3945,164094,1138.761
1989,2,"40S","180W",0,0,0.000
1989,2,"45S","145W",835,75661,423.699
1989,2,"45S","150W",2145,233269,1306.305
1989,2,"45S","155E",967,28132,157.541
1989,2,"45S","155W",63,2839,19.907
1989,2,"45S","160E",2137,65673,367.771
1989,2,"45S","160W",667,7901,44.660
1989,2,"45S","165E",81,1212,6.788
1989,2,"45S","165W",2495,66738,377.378
1989,2,"45S","170E",61,1136,6.364
1989,2,"45S","170W",3278,94192,527.477
1989,2,"45S","175W",456,8740,48.942
1989,2,"50S","170W",50,182,1.017
1989,3,"35S","145W",115,4390,29.106
1989,3,"35S","150W",1672,38970,294.388
1989,3,"35S","155W",358,8354,61.979
1989,3,"35S","160W",0,0,0.000
1989,3,"35S","165W",0,0,0.000
1989,3,"40S","135W",70,1612,11.786
1989,3,"40S","140W",226,3368,21.743
1989,3,"40S","145E",92,3663,20.512
1989,3,"40S","145W",2853,102097,603.857
1989,3,"40S","150E",0,0,0.000
1989,3,"40S","150W",1671,41967,238.402
1989,3,"40S","155W",1118,15075,109.884
1989,3,"40S","160E",55,77,0.434
1989,3,"40S","160W",869,17234,119.960
1989,3,"40S","165W",391,6696,44.559
1989,3,"40S","170W",0,0,0.000
1989,3,"45S","135W",76,714,4.001
1989,3,"45S","140E",0,0,0.000
1989,3,"45S","140W",370,10698,59.909
1989,3,"45S","145W",1375,26892,150.593
1989,3,"45S","150E",0,0,0.000
1989,3,"45S","150W",1378,22388,125.374
1989,3,"45S","155W",358,2966,19.617
1989,3,"45S","160E",610,13279,74.359
1989,3,"45S","165E",0,0,0.000
1989,3,"45S","165W",59,165,0.923
1989,4,"40S","140W",0,0,0.000
1989,4,"40S","145W",0,0,0.000
1989,4,"40S","150W",0,0,0.000
1989,11,"40S","155E",1020,26396,147.816
1989,11,"40S","160E",0,0,0.000
1989,11,"50S","150E",242,4472,25.041
1989,12,"40S","155E",10560,354160,1983.294
1989,12,"40S","160E",2377,76812,430.148
1989,12,"45S","145E",121,1064,5.959
1989,12,"45S","155E",1234,30247,169.384
1990,1,"30S","160E",67,815,4.563
1990,1,"40S","150E",0,0,0.000
1990,1,"40S","155E",3953,154825,867.022
1990,1,"40S","160E",6134,146666,821.327
1990,1,"45S","155E",5514,225725,1264.062
1990,1,"45S","160E",2311,55463,310.590
1990,2,"40S","145W",0,0,0.000
1990,2,"40S","150E",269,3905,21.870
1990,2,"40S","150W",207,9047,50.664
1990,2,"40S","155E",115,2829,15.840
1990,2,"40S","155W",670,96177,538.589
1990,2,"40S","160E",2565,61965,347.001
1990,2,"40S","160W",71,1782,9.979
1990,2,"45S","140E",202,3990,22.347
1990,2,"45S","145E",67,730,4.086
1990,2,"45S","145W",282,18803,105.296
1990,2,"45S","150W",142,5464,30.599
1990,2,"45S","160E",2428,45448,254.511
1990,2,"45S","160W",0,0,0.000
1990,3,"40S","150W",85,7037,39.407
1990,3,"40S","155W",0,0,0.000
1990,3,"45S","145W",514,21210,118.775
1990,3,"45S","150W",1771,117912,660.310
1990,3,"45S","155W",0,0,0.000
