yy,mm,lat5,lon5,cwp_grid,hhooks,alb_c,alb_n,yft_c,yft_n,bet_c,bet_n,mls_c,mls_n,blm_c,blm_n,bum_c,bum_n,swo_c,swo_n,oth_c,oth_n
1950,6,"00N","140E","61000014000",1952.00,0.000,0,121.627,4796,13.320,429,0.000,0,0.000,0,62.717,1073,0.000,0,0.000,0
1950,6,"00N","145E","61000014500",1359.00,0.000,0,94.720,3735,13.507,435,0.000,0,0.000,0,44.422,760,0.000,0,0.000,0
1950,6,"05N","140E","61050014000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,6,"05N","145E","61050014500",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,6,"05N","150E","61050015000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,7,"00N","140E","61000014000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,7,"00N","145E","61000014500",2682.00,0.000,0,125.659,4955,30.119,970,0.000,0,0.000,0,83.584,1430,0.000,0,0.000,0
1950,7,"00N","150E","61000015000",4526.00,0.000,0,256.339,10108,50.953,1641,0.000,0,0.000,0,130.460,2232,0.000,0,0.000,0
1950,7,"00N","155E","61000015500",1696.00,1.006,77,114.779,4526,20.928,674,0.000,0,0.000,0,53.248,911,0.000,0,0.259,58
1950,7,"00N","160E","61000016000",1001.00,0.000,0,70.552,2782,16.239,523,4.698,61,0.000,0,43.662,747,0.000,0,0.000,0
1950,7,"05N","140E","61050014000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,7,"05N","145E","61050014500",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,7,"05N","150E","61050015000",1065.00,0.471,36,52.470,2069,9.688,312,0.000,0,0.000,0,39.454,675,0.000,0,0.143,32
1950,7,"05N","155E","61050015500",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,7,"05N","160E","61050016000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,8,"00N","140E","61000014000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,8,"00N","145E","61000014500",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,8,"00N","150E","61000015000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,8,"00N","155E","61000015500",9639.00,10.992,841,622.613,24551,92.250,2971,0.000,0,0.000,0,210.771,3606,0.000,0,0.544,122
1950,8,"00N","160E","61000016000",2065.00,1.869,143,129.716,5115,23.722,764,0.000,0,0.000,0,104.392,1786,0.000,0,0.044,4
1950,8,"00N","165E","61000016500",3379.00,2.849,218,199.330,7860,35.645,1148,0.000,0,0.000,0,209.777,3589,0.000,0,0.000,0
1950,8,"05N","150E","61050015000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,8,"05N","155E","61050015500",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,8,"05N","160E","61050016000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,8,"05N","165E","61050016500",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,9,"00N","150E","61000015000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,9,"00N","155E","61000015500",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,9,"00N","160E","61000016000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,9,"00N","165E","61000016500",3313.00,0.000,0,255.401,10071,21.300,686,1.848,24,0.000,0,85.980,1471,0.000,0,0.264,24
1950,9,"05N","150E","61050015000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,9,"05N","155E","61050015500",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,9,"05N","160E","61050016000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,9,"05N","165E","61050016500",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,9,"10N","160E","61100016000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,10,"05N","160E","61050016000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,10,"05N","175E","61050017500",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,10,"10N","160E","61100016000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,12,"00N","130E","61000013000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1950,12,"00N","135E","61000013500",1476.00,1.987,152,142.194,5607,18.164,585,0.000,0,0.000,0,39.337,673,0.000,0,0.723,162
1950,12,"00N","140E","61000014000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,2,"00N","150E","61000015000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,2,"00N","155E","61000015500",2781.00,2.000,153,189.617,7477,35.894,1156,0.000,0,0.000,0,96.033,1643,0.000,0,3.404,389
1951,2,"00N","160E","61000016000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,2,"05N","155E","61050015500",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,3,"00N","135E","61000013500",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,3,"00N","140E","61000014000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,3,"00N","145E","61000014500",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,4,"00N","135E","61000013500",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,4,"00N","140E","61000014000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,4,"00N","145E","61000014500",1829.00,0.000,0,88.963,3508,33.596,1082,0.000,0,0.000,0,34.661,593,0.000,0,0.125,28
1951,4,"00N","150E","61000015000",2720.00,0.000,0,153.276,6044,38.937,1254,0.000,0,0.000,0,64.704,1107,0.000,0,0.351,32
1951,4,"00N","155E","61000015500",1251.00,0.000,0,86.478,3410,15.370,495,0.154,2,0.000,0,33.550,574,0.000,0,1.060,191
1951,4,"00N","160E","61000016000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,4,"05N","145E","61050014500",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,4,"05N","150E","61050015000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,4,"05N","155E","61050015500",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,5,"00N","150E","61000015000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,5,"00N","155E","61000015500",2918.00,3.882,297,158.044,6232,53.810,1733,0.000,0,0.000,0,66.341,1135,21.118,446,3.338,589
1951,5,"00N","160E","61000016000",3733.00,0.000,0,197.275,7779,59.771,1925,0.000,0,0.000,0,82.648,1414,0.000,0,2.618,587
1951,5,"00N","165E","61000016500",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,5,"05N","155E","61050015500",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,5,"05N","160E","61050016000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,5,"10N","160E","61100016000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,6,"00N","150E","61000015000",1744.00,0.000,0,136.031,5364,43.874,1413,0.000,0,0.000,0,54.359,930,0.000,0,0.227,51
1951,6,"00N","155E","61000015500",3142.00,2.627,201,238.333,9398,72.315,2329,8.163,106,0.000,0,67.860,1161,0.000,0,1.252,247
1951,6,"00N","160E","61000016000",1578.00,0.000,0,119.344,4706,29.001,934,0.000,0,0.000,0,33.200,568,0.000,0,0.187,42
1951,6,"05N","150E","61050015000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,6,"05N","155E","61050015500",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,6,"05N","160E","61050016000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,6,"10N","150E","61100015000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,6,"10N","155E","61100015500",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,6,"15N","150E","61150015000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,6,"20N","150E","61200015000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,7,"00N","160E","61000016000",2673.00,0.000,0,172.676,6809,73.247,2359,0.000,0,0.000,0,47.929,820,0.000,0,4.063,648
1951,7,"00N","165E","61000016500",4724.00,6.404,490,273.482,10784,160.125,5157,0.000,0,0.000,0,132.097,2260,0.000,0,5.242,782
1951,7,"05N","160E","61050016000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,7,"05N","165E","61050016500",1644.00,2.143,164,91.118,3593,48.065,1548,3.696,48,0.000,0,72.069,1233,0.000,0,0.406,91
1951,7,"05N","170E","61050017000",1632.00,0.000,0,94.618,3731,38.502,1240,0.000,0,0.000,0,70.958,1214,0.000,0,0.116,26
1951,8,"00N","150E","61000015000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,8,"00N","155E","61000015500",4736.00,7.659,586,278.935,10999,88.710,2857,0.000,0,0.000,0,86.331,1477,0.000,0,1.347,302
1951,8,"00N","160E","61000016000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,8,"05N","150E","61050015000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,8,"05N","155E","61050015500",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,8,"05N","160E","61050016000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,8,"05N","165E","61050016500",1297.00,1.229,94,40.424,1594,27.200,876,1.001,13,0.000,0,62.249,1065,0.000,0,0.259,58
1951,8,"05N","170E","61050017000",3919.00,2.470,189,132.607,5229,122.461,3944,0.000,0,0.000,0,219.889,3762,0.000,0,2.716,422
1951,8,"05N","175E","61050017500",1778.00,2.287,175,23.078,910,62.348,2008,0.000,0,0.000,0,86.272,1476,0.000,0,0.132,12
1951,8,"10N","165E","61100016500",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,8,"10N","170E","61100017000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,8,"10N","175E","61100017500",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,8,"25N","170E","61250017000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,9,"00N","150E","61000015000",0.00,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
1951,9,"00N","155E","61000015500",2252.00,9.750,746,130.756,5156,40.023,1289,0.000,0,0.000,0,49.332,844,0.000,0,0.000,0
1951,9,"00N","160E","61000016000",3668.00,19.226,1471,205.872,8118,91.101,2934,0.000,0,0.000,0,71.367,1221,0.000,0,0.834,187
